date,total,male,female
2008-01-01,2542,1808,734
2008-02-01,2408,1747,661
2008-03-01,2939,2061,878
2008-04-01,2854,2024,830
2008-05-01,2796,1953,843
2008-06-01,2769,1917,852
2008-07-01,2652,1862,790
2008-08-01,2431,1701,730
2008-09-01,2714,1940,774
2008-10-01,3092,2204,888
2008-11-01,2539,1847,692
2008-12-01,2513,1767,746
2009-01-01,2667,1907,760
2009-02-01,2490,1779,711
2009-03-01,3103,2258,845
2009-04-01,3066,2190,876
2009-05-01,3003,2142,861
2009-06-01,2857,2017,840
2009-07-01,2783,1981,802
2009-08-01,2525,1819,706
2009-09-01,2530,1782,748
2009-10-01,2811,1991,820
2009-11-01,2522,1811,711
2009-12-01,2488,1795,693
2010-01-01,2536,1821,715
2010-02-01,2445,1761,684
2010-03-01,2957,2181,776
2010-04-01,2585,1825,760
2010-05-01,2782,1989,793
2010-06-01,2780,1912,868
2010-07-01,2873,1993,880
2010-08-01,2559,1747,812
2010-09-01,2490,1739,751
2010-10-01,2446,1704,742
2010-11-01,2812,1936,876
2010-12-01,2425,1675,750
2011-01-01,2287,1561,726
2011-02-01,2151,1496,655
2011-03-01,2464,1751,713
2011-04-01,2711,1871,840
2011-05-01,3375,2276,1099
2011-06-01,3037,2071,966
2011-07-01,2813,1888,925
2011-08-01,2612,1761,851
2011-09-01,2446,1648,798
2011-10-01,2402,1667,735
2011-11-01,2256,1560,696
2011-12-01,2097,1405,692
2012-01-01,2268,1594,674
2012-02-01,2163,1508,655
2012-03-01,2588,1829,759
2012-04-01,2437,1726,711
2012-05-01,2525,1721,804
2012-06-01,2313,1631,682
2012-07-01,2413,1609,804
2012-08-01,2242,1543,699
2012-09-01,2314,1562,752
2012-10-01,2426,1680,746
2012-11-01,2140,1481,659
2012-12-01,2029,1389,640
2013-01-01,2453,1713,740
2013-02-01,2156,1504,652
2013-03-01,2486,1744,742
2013-04-01,2383,1706,677
2013-05-01,2542,1748,794
2013-06-01,2318,1575,743
2013-07-01,2293,1563,730
2013-08-01,2197,1477,720
2013-09-01,2245,1550,695
2013-10-01,2164,1492,672
2013-11-01,2045,1353,692
2013-12-01,2001,1362,639
2014-01-01,2079,1480,599
2014-02-01,1878,1332,546
2014-03-01,2317,1572,745
2014-04-01,2229,1503,726
2014-05-01,2262,1570,692
2014-06-01,2068,1392,676
2014-07-01,2024,1404,620
2014-08-01,2188,1435,753
2014-09-01,2257,1545,712
2014-10-01,2233,1521,712
2014-11-01,2096,1414,682
2014-12-01,1796,1218,578
2015-01-01,2057,1438,619
2015-02-01,1771,1232,539
2015-03-01,2301,1618,683
2015-04-01,2094,1477,617
2015-05-01,2244,1587,657
2015-06-01,2018,1426,592
2015-07-01,2068,1369,699
2015-08-01,1901,1299,602
2015-09-01,1882,1269,613
2015-10-01,2016,1416,600
2015-11-01,1887,1314,573
2015-12-01,1786,1236,550
2016-01-01,1851,1271,580
2016-02-01,1729,1190,539
2016-03-01,2113,1469,644
2016-04-01,1880,1297,583
2016-05-01,2065,1430,635
2016-06-01,1862,1288,574
2016-07-01,1862,1288,574
2016-08-01,1701,1175,526
2016-09-01,1765,1206,559
2016-10-01,1820,1273,547
2016-11-01,1683,1155,528
2016-12-01,1566,1079,487
2017-01-01,1815,1299,516
2017-02-01,1646,1143,503
2017-03-01,1915,1316,599
2017-04-01,1940,1335,605
2017-05-01,2024,1387,637
2017-06-01,1869,1287,582
2017-07-01,1837,1262,575
2017-08-01,1852,1291,561
2017-09-01,1821,1291,530
2017-10-01,1642,1150,492
2017-11-01,1565,1072,493
2017-12-01,1395,993,402
2018-01-01,1641,1139,502
2018-02-01,1599,1104,495
2018-03-01,2005,1435,570
2018-04-01,1825,1236,589
2018-05-01,1863,1260,603
2018-06-01,1740,1194,546
2018-07-01,1725,1181,544
2018-08-01,1708,1138,570
2018-09-01,1728,1172,556
2018-10-01,1793,1243,550
2018-11-01,1623,1094,529
2018-12-01,1590,1094,496
2019-01-01,1684,1176,508
2019-02-01,1615,1122,493
2019-03-01,1856,1324,532
2019-04-01,1814,1289,525
2019-05-01,1853,1298,555
2019-06-01,1640,1145,495
2019-07-01,1793,1230,563
2019-08-01,1603,1139,464
2019-09-01,1662,1161,501
2019-10-01,1539,1073,466
2019-11-01,1616,1086,530
2019-12-01,1494,1035,459
2020-01-01,1686,1189,497
2020-02-01,1464,1031,433
2020-03-01,1758,1250,508
2020-04-01,1507,1063,444
2020-05-01,1591,1093,498
2020-06-01,1572,1061,511
2020-07-01,1865,1199,666
2020-08-01,1931,1253,678
2020-09-01,1889,1229,660
2020-10-01,2230,1341,889
2020-11-01,1893,1242,651
2020-12-01,1695,1104,591
2021-01-01,1729,1166,563
2021-02-01,1678,1130,548
2021-03-01,1976,1308,668
2021-04-01,1801,1207,594
2021-05-01,1745,1142,603
