date,Total
2009-01-01,2720.0142149669846
2009-02-01,2475.0221631205677
2009-03-01,3120.636463683052
2009-04-01,3038.303069210076
2009-05-01,2964.002201027146
2009-06-01,2830.461451455124
2009-07-01,2793.3110173636587
2009-08-01,2535.266110295916
2009-09-01,2533.2579787234044
2009-10-01,2791.3028857911468
2009-11-01,2538.2783076546834
2009-12-01,2505.1441367082416
2010-01-01,2536.488375047644
2010-02-01,2485.154681743108
2010-03-01,2929.040147376445
2010-04-01,2604.933299453691
2010-05-01,2736.7904332359294
2010-06-01,2770.0063524329817
2010-07-01,2857.575593952484
2010-08-01,2552.593063143184
2010-09-01,2520.383686952103
2010-10-01,2450.932219540084
2010-11-01,2837.444733833058
2010-12-01,2408.6574132892897
2011-01-01,2407.65977207008
2011-02-01,2236.6523218234397
2011-03-01,2549.470828372172
2011-04-01,2786.1701649940464
2011-05-01,3468.114509270284
2011-06-01,2943.622146623576
2011-07-01,2729.862833815275
2011-08-01,2542.171729886035
2011-09-01,2411.8306854907296
2011-10-01,2336.754243919034
2011-11-01,2188.686817485967
2011-12-01,2050.0039462493623
2012-01-01,2251.561883562958
2012-02-01,2136.0971715853707
2012-03-01,2556.26042905937
2012-04-01,2393.75453812795
2012-05-01,2504.942779291553
2012-06-01,2315.708945772729
2012-07-01,2436.5192462677974
2012-08-01,2262.25306059792
2012-09-01,2345.644241470622
2012-10-01,2437.588363971294
2012-11-01,2161.7559964692787
2012-12-01,2055.913343823157
2013-01-01,2451.732602739726
2013-02-01,2114.299021526419
2013-03-01,2437.85084148728
2013-04-01,2338.542857142857
2013-05-01,2544.6336203522505
2013-06-01,2319.3219569471626
2013-07-01,2311.8471624266144
2013-08-01,2216.8104892367905
2013-09-01,2283.0158121330724
2013-10-01,2193.318277886497
2013-11-01,2059.839804305284
2013-12-01,2011.787553816047
2014-01-01,2091.1687380098424
2014-02-01,1848.3301776628573
2014-03-01,2287.348360997581
2014-04-01,2181.3053215447494
2014-05-01,2245.9915756109767
2014-06-01,2077.3831428809744
2014-07-01,2036.02635749437
2014-08-01,2226.903828509467
2014-09-01,2261.8980315289014
2014-10-01,2235.3872716656933
2014-11-01,2121.921219451164
2014-12-01,1813.3359746434232
2015-01-01,2046.1493414655704
2015-02-01,1748.8365155131264
2015-03-01,2304.1744011314418
2015-04-01,2085.437107752144
2015-05-01,2220.289710952002
2015-06-01,1991.9959338813755
2015-07-01,2053.582162114382
2015-08-01,1928.286042605852
2015-09-01,1907.049412180677
2015-10-01,2033.4073632104655
2015-11-01,1909.1730752231945
2015-12-01,1796.6189339697694
2016-01-01,1851.5215669014085
2016-02-01,1728.3723591549297
2016-03-01,2112.812059859155
2016-04-01,1872.9388204225352
2016-05-01,2052.84375
2016-06-01,1834.3877640845071
2016-07-01,1865.442781690141
2016-08-01,1698.3882042253522
2016-09-01,1761.569102112676
2016-10-01,1844.025528169014
2016-11-01,1689.8213028169014
2016-12-01,1584.8767605633802
2017-01-01,1798.325591985428
2017-02-01,1639.744990892532
2017-03-01,1920.2276867030964
2017-04-01,1920.2276867030964
2017-05-01,2033.499544626594
2017-06-01,1865.209927140255
2017-07-01,1813.428506375228
2017-08-01,1852.2645719489983
2017-09-01,1833.9253187613845
2017-10-01,1645.138888888889
2017-11-01,1591.1999089253188
2017-12-01,1407.8073770491803
2018-01-01,1624.4579376200113
2018-02-01,1604.9903990866158
2018-03-01,1979.1997508952204
2018-04-01,1796.421194665006
2018-05-01,1853.742280346671
2018-06-01,1747.752348331517
2018-07-01,1728.2848097981214
2018-08-01,1706.6542114276815
2018-09-01,1734.7739893092532
2018-10-01,1788.8504852353522
2018-11-01,1635.2732368052311
2018-12-01,1639.599356479319
2019-01-01,1718.8971892379377
2019-02-01,1631.9923342852849
2019-03-01,1869.464903051255
2019-04-01,1794.6863069292049
2019-05-01,1859.359687359086
2019-06-01,1645.1291146851045
2019-07-01,1779.5284833909514
2019-08-01,1586.5188636705243
2019-09-01,1678.476326469262
2019-10-01,1557.213738163235
2019-11-01,1611.781902900947
2019-12-01,1435.9511498572074
2020-01-01,1711.0709668151128
2020-02-01,1476.8712828616578
2020-03-01,1787.7915529377965
2020-04-01,1476.8712828616578
2020-05-01,1579.83838528947
2020-06-01,1594.9806062347363
2020-07-01,1850.3793995115643
2020-08-01,1931.1379112196523
2020-09-01,1932.1473926160036
2020-10-01,2230.9538859359286
2020-11-01,1886.720729780204
2020-12-01,1622.2366039362162
2021-01-01,1608.0
2021-02-01,1552.0
2021-03-01,1845.0
2021-04-01,1686.0
2021-05-01,1696.0
2021-06-01,1698.0
2021-07-01,1571.0
